Cluster, Domain, DomianType
Cluster 0, zhimoo.com, 1
Cluster 0, rokyinfo.net, -1
Cluster 0, xj-online.com, 1
Cluster 0, line-scdn.net, -1
Cluster 0, jlmgps.com, -1
Cluster 0, google.com, -1
Cluster 0, 17sxin.com, -1
Cluster 0, newrelic.com, -1
Cluster 0, yq1d.com, 1
Cluster 0, gentags.net, -1
Cluster 0, tanway.cn, -1
Cluster 0, zt-express.com, -1
Cluster 0, iotts.net, 1
Cluster 0, idatachina.com, 1
Cluster 0, tmall.com, -1
Cluster 0, adnxs.com, -1
Cluster 0, eyerising.com, 1
Cluster 0, so.com, -1
Cluster 0, fleety.com, 1
Cluster 0, g7smart.com, -1
Cluster 0, windows.com, 0
Cluster 0, edaoduo.com, -1
Cluster 0, ppmoney.com, 1
Cluster 0, vipcare.com, -1
Cluster 0, sjtu.edu.cn, -1
Cluster 0, ecarcloud.net, -1
Cluster 0, ktcarnet.com, 1
Cluster 0, 91isv.cn, -1
Cluster 0, googletagmanager.com, -1
Cluster 0, sinobds.cn, 1
Cluster 0, appspot.com, -1
Cluster 0, fuwo.com, -1
Cluster 0, morefun-et.com, 1
Cluster 0, cgqc.cn, -1
Cluster 0, bluegogo.com, 1
Cluster 0, zenlane.com, 1
Cluster 0, redstone.net.cn, 0
Cluster 0, topsail-iot.com, -1
Cluster 0, gpsxitong.com, 0
Cluster 0, ntp.org.cn, 0
Cluster 0, gmail.com, -1
Cluster 0, inmobi.com, -1
Cluster 0, appsflyer.com, -1
Cluster 0, dian.so, 1
Cluster 0, duapps.com, -1
Cluster 0, sina.com, 0
Cluster 0, baoxingtech.com, -1
Cluster 0, suianbo.cn, 1
Cluster 0, wostore.cn, -1
Cluster 0, bfgps.com, -1
Cluster 0, kirinclouds.com, -1
Cluster 0, gps903.net, 1
Cluster 0, app-measurement.com, -1
Cluster 0, 70mai.com.cn, 1
Cluster 0, zemt.cn, 1
Cluster 0, cvnavi.com, 1
Cluster 0, yichebang.net, 1
Cluster 0, growingio.com, -1
Cluster 0, tianxing.com, 1
Cluster 0, zol.com.cn, -1
Cluster 0, blibee.com, -1
Cluster 0, ivmc.net, -1
Cluster 0, shinemonitor.com, -1
Cluster 0, aiqiangua.com, 1
Cluster 0, lbs-simcom.com, -1
Cluster 0, zhihusan.cn, -1
Cluster 0, ctrip.com, -1
Cluster 0, 58995899.net, 1
Cluster 0, 9jodia.net, 1
Cluster 0, matocloud.com, -1
Cluster 0, eftpay.com.cn, 1
Cluster 0, yusong.com.cn, 1
Cluster 0, googleapis.cn, 0
Cluster 0, tongdun.net, -1
Cluster 0, beidou360.org, 1
Cluster 0, easy-pay.com.cn, 1
Cluster 0, gps110.org, 1
Cluster 0, yuyugps.com, -1
Cluster 0, tanway.net, 1
Cluster 0, teld.cn, 1
Cluster 0, xunwaytech.com, 1
Cluster 0, haro-sh.cn, 1
Cluster 0, tcnvmms.com, 1
Cluster 0, gps669.net, -1
Cluster 0, chinacityguard.com.cn, 1
Cluster 0, lakala.com, 1
Cluster 0, shouqiev.com, 1
Cluster 0, fullway.com.cn, 1
Cluster 0, wlaa.com.cn, 1
Cluster 0, weibo.cn, -1
Cluster 0, shjgj.gov.cn, 1
Cluster 0, kartor.cn, 1
Cluster 0, iyoulia.com, 1
Cluster 0, dianping.com, 0
Cluster 0, ksyun.com, -1
Cluster 0, wicp.net, -1
Cluster 0, 50yaya.com, 1
Cluster 0, hp888.com, -1
Cluster 0, bydauto.com.cn, 1
Cluster 0, jiguang.cn, -1
Cluster 0, axxc.cn, -1
Cluster 0, bangoplus.com, 1
Cluster 0, geni4s.com, 1
Cluster 0, zhonghang-gprs.com, 1
Cluster 0, jambocloud.com, 1
Cluster 0, smartisan.com, 1
Cluster 0, ubox.cn, 1
Cluster 0, suibianzhua.com, 1
Cluster 0, outlook.com, -1
Cluster 0, wiselbs.cn, 0
Cluster 0, cvtsp.com, 1
Cluster 0, hotmail.com, -1
Cluster 0, kugou.net, -1
Cluster 0, lixms.com, -1
Cluster 0, zillionsource.com, 1
Cluster 0, niu.com, 1
Cluster 0, qm.cn, 1
Cluster 0, zjs.com.cn, 1
Cluster 0, yahoo.com, -1
Cluster 0, gstarworld.com.cn, 1
Cluster 0, kingwings.cn, 1
Cluster 0, symcd.com, -1
Cluster 0, firecc.cn, 1
Cluster 0, feieyun.cn, -1
Cluster 0, icbc.com.cn, 1
Cluster 0, supersoco.com, 1
Cluster 0, gps009.cc, 1
Cluster 0, china-gis.com, -1
Cluster 0, 02rc.com, -1
Cluster 0, gps112.com, 1
Cluster 0, 952100.com, -1
Cluster 0, e22a.com, -1
Cluster 0, samsungcard.com, -1
Cluster 0, liebaozhaoche.cn, -1
Cluster 0, co.jp, -1
Cluster 0, lkme.cc, -1
Cluster 0, yilan.tv, -1
Cluster 0, btiot.com.cn, -1
Cluster 0, networkbench.com, -1
Cluster 0, shgxkj1230.com, 1
Cluster 0, mwee.cn, 1
Cluster 0, yaxon.mobi, 1
Cluster 0, gmyun.net, -1
Cluster 0, webterren.com, -1
Cluster 0, chinacloudapp.cn, -1
Cluster 0, echepin.cn, -1
Cluster 0, jlpay.com, 1
Cluster 0, thingyu.com, -1
Cluster 0, supatent.cn, -1
Cluster 0, zjtrack.com, 1
Cluster 0, 55555.io, 0
Cluster 0, appvipshop.com, -1
Cluster 0, mytogo.com, 1
Cluster 0, hoymiles.com, -1
Cluster 0, shrenj.com, 1
Cluster 0, chcedo.com, -1
Cluster 0, iqiyi.com, 0
Cluster 0, gpsos.com.cn, 1
Cluster 0, x9water.com, 1
Cluster 0, sharemao.com, 1
Cluster 0, oznerwater.com, -1
Cluster 0, i-elitech.cn, 1
Cluster 0, alibaba-inc.com, -1
Cluster 0, rqsjcj.com.cn, 1
Cluster 0, esim.net.cn, -1
Cluster 0, weitepai.com, 1
Cluster 0, tpvms.org, 1
Cluster 0, sbycjk.cn, -1
Cluster 0, originate.org.cn, 1
Cluster 0, shsyf.com, 1
Cluster 0, yadea.com.cn, 1
Cluster 0, xuanmo.me, -1
Cluster 0, teamviewer.com, 0
Cluster 0, hbjk.com.cn, 1
Cluster 0, eoutech.net, 1
Cluster 0, bdiov.net, -1
Cluster 0, duokanbox.com, -1
Cluster 0, leadu.com.cn, 1
Cluster 0, haiyaxiyi.cn, 1
Cluster 0, friggatech.com, -1
Cluster 0, zhuineng.com, 1
Cluster 0, wuxianled.com, 1
Cluster 0, my-idog.com, 1
Cluster 0, dfcv.com.cn, -1
Cluster 0, techtotop.com, -1
Cluster 0, naveco.com.cn, 1
Cluster 0, freetis.net, -1
Cluster 0, gps98.cn, 1
Cluster 0, audi-connect.cn, 1
Cluster 0, kakao.com, -1
Cluster 0, intestcar.com, 1
Cluster 0, neoway.com, 0
Cluster 0, myasiatek.cn, -1
Cluster 0, bootcss.com, -1
Cluster 0, joyoung.com, -1
Cluster 0, njchengshan.cn, 1
Cluster 0, meeyou.me, 1
Cluster 0, gps0123.com, -1
Cluster 0, voiceads.cn, -1
Cluster 0, getein.cn, 1
Cluster 0, adkmob.com, -1
Cluster 0, gpssafesum.com, -1
Cluster 0, useeasy.cn, -1
Cluster 0, landfone.cn, -1
Cluster 0, reachmax.cn, -1
Cluster 0, openspeech.cn, 0
Cluster 0, criteo.com, -1
Cluster 0, jygps.com.cn, -1
Cluster 0, jimicloud.com, 0
Cluster 0, cheweishi.cn, 1
Cluster 0, huasu.net, 1
Cluster 0, heclouds.com, 1
Cluster 0, zhijiaxing.net, -1
Cluster 0, xunlei.com, -1
Cluster 0, brightdairy.com, 0
Cluster 0, mfhcd.com, -1
Cluster 0, dftcgroup.com, -1
Cluster 0, moootooo.cn, -1
Cluster 0, miyixia.cn, 1
Cluster 0, xicp.net, 0
Cluster 0, itms360.com, 1
Cluster 0, msftconnecttest.com, -1
Cluster 0, appnxt.net, -1
Cluster 0, jpush.cn, 0
Cluster 0, ucpaas.com, -1
Cluster 0, android.com, -1
Cluster 0, landicorp.com, -1
Cluster 0, basegps.com, -1
Cluster 0, tencent-cloud.net, 0
Cluster 0, hexin.cn, -1
Cluster 0, teddymobile.cn, -1
Cluster 0, scinan.com, 1
Cluster 0, 99bill.com, 1
Cluster 0, szzhaona.net, -1
Cluster 0, eeiot.cn, 1
Cluster 0, ronghub.com, -1
Cluster 0, fotapro.com, -1
Cluster 0, 18gps.net, 1
Cluster 0, douyu.com, -1
Cluster 0, qiku.com, 1
Cluster 0, thinklock.cn, 1
Cluster 0, bbobo.com, -1
Cluster 0, samsungosp.com, -1
Cluster 0, fengkongcloud.com, -1
Cluster 0, jpush.io, 0
Cluster 0, ccclubs.com, 1
Cluster 0, wpsmail.net, -1
Cluster 0, imwork.net, 0
Cluster 0, 51515111.cc, 1
Cluster 0, ebankpos.com.cn, 1
Cluster 0, getui.net, 0
Cluster 0, sealan-tech.com, -1
Cluster 0, capcare.com.cn, 1
Cluster 0, hditcloud.com, 1
Cluster 0, 51qianba.cn, -1
Cluster 0, wiway.com.cn, -1
Cluster 0, ailianlian.com, 0
Cluster 0, onemilea.com, -1
Cluster 0, d-water.net, -1
Cluster 0, gpscore.net, -1
Cluster 0, rywl.cn, 1
Cluster 0, meituan.com, 0
Cluster 0, senergytec.cn, 1
Cluster 0, gzyunku.net, 1
Cluster 0, horebtech.net, 1
Cluster 0, emmars.cn, -1
Cluster 0, qutu.com, -1
Cluster 0, shrongshen.com, 1
Cluster 0, vip.com, -1
Cluster 0, 51asiatek.cn, -1
